                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.83229,                0.49479,                0.96031,                0.82026,                0.71152,                0.75314,                0.51836,                 1.2674,                0.78625,                 1.1365,                0.00538,                0.00538,                0.00538
                     72,                0.82627,                0.49187,                0.95951,                0.82099,                0.71173,                0.75289,                0.51804,                 1.2721,                0.78504,                 1.1389,               0.005314,               0.005314,               0.005314
                     73,                0.82664,                0.49266,                0.95823,                0.83855,                0.70139,                0.75308,                0.52055,                 1.2682,                0.77981,                 1.1371,               0.005248,               0.005248,               0.005248
                     74,                0.82067,                0.48787,                0.95689,                0.81358,                0.71916,                0.74903,                0.51861,                 1.2652,                0.77755,                 1.1347,               0.005182,               0.005182,               0.005182
                     75,                0.82169,                0.48502,                0.95511,                0.82079,                0.71119,                0.75085,                0.52072,                 1.2646,                0.77466,                  1.136,               0.005116,               0.005116,               0.005116
                     76,                0.82005,                0.48691,                0.95575,                0.82024,                0.71341,                0.75139,                0.52118,                 1.2615,                0.77681,                 1.1342,                0.00505,                0.00505,                0.00505
                     77,                0.81002,                0.47783,                0.95253,                0.81279,                0.71604,                0.74995,                 0.5227,                 1.2599,                0.77544,                 1.1359,               0.004984,               0.004984,               0.004984
                     78,                0.80897,                0.47795,                0.95246,                0.81954,                0.71173,                0.74987,                0.52123,                 1.2618,                 0.7742,                 1.1366,               0.004918,               0.004918,               0.004918
                     79,                0.80486,                0.47571,                0.95047,                0.81468,                0.71354,                0.74912,                0.52167,                 1.2635,                0.77798,                  1.138,               0.004852,               0.004852,               0.004852
                     80,                0.80481,                0.47828,                0.95153,                0.81775,                0.71369,                0.74996,                 0.5208,                 1.2639,                0.77855,                 1.1386,               0.004786,               0.004786,               0.004786
                     81,                 0.8007,                0.47478,                0.94843,                0.81398,                0.71096,                0.74828,                0.51943,                 1.2618,                0.78223,                 1.1373,                0.00472,                0.00472,                0.00472
                     82,                0.79814,                0.46947,                0.94782,                0.81314,                0.71294,                0.74967,                0.51952,                 1.2624,                0.78267,                 1.1373,               0.004654,               0.004654,               0.004654
                     83,                0.79704,                0.47119,                0.94686,                0.81614,                0.70911,                0.75071,                0.52059,                  1.261,                0.78363,                 1.1354,               0.004588,               0.004588,               0.004588
                     84,                0.79596,                0.46939,                0.94726,                0.81305,                0.71414,                0.75091,                 0.5206,                 1.2597,                0.78307,                 1.1348,               0.004522,               0.004522,               0.004522
                     85,                0.79109,                0.46447,                0.94404,                0.81514,                0.70779,                0.74917,                0.51922,                 1.2582,                0.78209,                 1.1339,               0.004456,               0.004456,               0.004456
                     86,                 0.7894,                 0.4638,                0.94419,                0.80717,                0.71125,                0.74801,                0.51906,                 1.2594,                0.78341,                 1.1343,                0.00439,                0.00439,                0.00439
                     87,                0.79206,                 0.4645,                0.94289,                0.79681,                0.72489,                0.74949,                0.51934,                 1.2578,                0.78189,                 1.1337,               0.004324,               0.004324,               0.004324
                     88,                0.79253,                0.46175,                 0.9438,                0.81112,                0.71389,                0.74837,                0.51955,                 1.2577,                 0.7816,                 1.1342,               0.004258,               0.004258,               0.004258
                     89,                0.78828,                0.46256,                0.94258,                0.81458,                0.71621,                0.74876,                0.51966,                 1.2588,                0.78099,                 1.1346,               0.004192,               0.004192,               0.004192
                     90,                0.77906,                0.45561,                0.93932,                0.82459,                0.71151,                 0.7502,                0.52012,                 1.2603,                0.78124,                 1.1356,               0.004126,               0.004126,               0.004126
                     91,                0.77551,                0.45153,                0.93846,                0.82298,                0.71228,                  0.751,                 0.5203,                 1.2619,                0.77958,                 1.1369,                0.00406,                0.00406,                0.00406
                     92,                0.77189,                 0.4522,                0.93748,                0.82864,                0.70934,                0.75064,                0.52055,                 1.2611,                0.77833,                 1.1369,               0.003994,               0.003994,               0.003994
                     93,                0.76485,                0.44953,                0.93395,                0.82612,                0.71132,                0.75026,                0.52121,                  1.261,                0.77905,                 1.1374,               0.003928,               0.003928,               0.003928
                     94,                0.76693,                0.45205,                0.93494,                0.82915,                0.70772,                   0.75,                0.52142,                 1.2602,                0.77808,                 1.1375,               0.003862,               0.003862,               0.003862
                     95,                0.76292,                0.45093,                0.93249,                0.82677,                0.71001,                0.75046,                0.52244,                 1.2606,                0.77742,                 1.1385,               0.003796,               0.003796,               0.003796
                     96,                0.76217,                0.44454,                0.93232,                 0.8309,                0.70572,                0.74988,                0.52211,                 1.2609,                0.77865,                 1.1386,                0.00373,                0.00373,                0.00373
                     97,                0.76183,                 0.4447,                0.93434,                0.83459,                0.70581,                0.75292,                0.52346,                 1.2602,                0.77553,                 1.1381,               0.003664,               0.003664,               0.003664
                     98,                0.75834,                0.44332,                0.93194,                 0.8374,                0.70775,                0.75353,                0.52425,                 1.2602,                0.77611,                 1.1384,               0.003598,               0.003598,               0.003598
                     99,                 0.7571,                0.44485,                0.93281,                0.84502,                0.70118,                0.75361,                0.52484,                 1.2597,                0.77656,                 1.1381,               0.003532,               0.003532,               0.003532
                    100,                0.75152,                0.44127,                 0.9315,                0.85179,                0.69572,                0.75299,                0.52416,                 1.2585,                0.77519,                 1.1376,               0.003466,               0.003466,               0.003466
                    101,                0.74454,                0.43172,                0.92817,                0.85215,                0.69538,                0.75242,                0.52476,                 1.2584,                0.77482,                 1.1369,                 0.0034,                 0.0034,                 0.0034
                    102,                0.74884,                0.43859,                0.92972,                0.84415,                0.69769,                0.75239,                0.52488,                 1.2589,                0.77558,                 1.1371,               0.003334,               0.003334,               0.003334
                    103,                0.74567,                0.43597,                0.92554,                 0.8466,                0.69746,                0.75194,                0.52427,                 1.2595,                0.77559,                 1.1378,               0.003268,               0.003268,               0.003268
                    104,                 0.7468,                0.43608,                0.92814,                0.85752,                0.69267,                0.75172,                0.52446,                 1.2595,                0.77439,                 1.1379,               0.003202,               0.003202,               0.003202
                    105,                0.73657,                0.42728,                0.92282,                0.85299,                0.69381,                0.75238,                0.52429,                 1.2591,                0.77306,                 1.1381,               0.003136,               0.003136,               0.003136
                    106,                0.73716,                0.42914,                0.92537,                0.85315,                0.69456,                0.75255,                 0.5246,                 1.2585,                0.77377,                 1.1381,                0.00307,                0.00307,                0.00307
                    107,                0.72837,                0.42386,                0.92266,                0.85372,                0.69423,                0.75299,                0.52535,                 1.2588,                0.77318,                 1.1388,               0.003004,               0.003004,               0.003004
